id,name,darreichung,status,verweis,artikelnummer,pharmacode,ean,abgabekategorie,zulassungsnummer,csl
671,Quarz D8,Augentropfen 10 ml,Lieferbar,,117242,7735973,7611916157110,D / -,406312,
672,Quarz D10,Tropfen zum Einnehmen 50 ml,Lieferbar,,124847,5156296,7611916148231,FM / SL,,2069734
673,Quarz D12,Tropfen zum Einnehmen 50 ml,Lieferbar,,205731,5156310,7611916148248,FM / SL,,2069734
674,Quarz D12,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: Pulver D12 und Tropfen D12),,115003,4109811,7611916114885,B,404639,8x2070654
675,Quarz D12,Pulver zum Einnehmen 50 g,Lieferbar,,124437,5064329,7611916153020,D / -,414027,
676,Quarz D20,Tropfen zum Einnehmen 50 ml,Lieferbar,,124910,5156333,7611916148262,FM / SL,,2069734
677,Quarz D20,Injektionslösung 8 Amp.,Gestrichen (Lieferbar: Pulver D12 und Tropfen D12),,115004,4109917,7611916114908,B,404639,8x2070654
678,Quarz D20,Pulver zum Einnehmen 50 g,Lieferbar,,205984,1034114,7611916125591,FM / nach ALT,,
679,Quarz D30,Injektionslösung 8 Amp.,Lieferbar,,115005,4109969,7611916114922,B / SL,404639,8x2070677
680,Quarz D30,Tropfen zum Einnehmen 50 ml,Lieferbar,,205734,5156988,7611916148279,FM / SL,,2069800
681,Quarz D30,Pulver zum Einnehmen 50 g,Lieferbar,,205985,1008650,7611916125607,FM / nach ALT,,
682,Quarz D60,Injektionslösung 8 Amp.,Lieferbar,,124327,4134714,7611916151583,B / SL,404639,8x2070677
683,"Quercus, ethanol. Decoctum 20%",Flüssigkeit zur Anwendung auf der Haut 100 ml,Lieferbar,,124754,7735265,7611916159800,FM / SL,,2070128
684,"Quercus, ethanol. Decoctum 5%",Crème 25 g,Lieferbar,,100636,7819765,7611916161070,FM / nach ALT,,
685,"Quercus, ethanol. Decoctum Ø (= D1)",Tropfen zum Einnehmen 50 ml,Lieferbar,,124440,5064364,7611916153051,D / SL,414905,2069591
686,Ratanhia comp.,Flüssigkeit zur Anwendung in der Mundhöhle 20 ml,Lieferbar,,116002,4134789,7611916005251,D / SL,60032,2070453
